"Nome","Time","Posicao","Idade"
"Bellini","Vasco","DEF","28"
"Castilho","Fluminense","GOL","31"
"De Sordi","São Paulo","DEF","27"
"Dida","Flamengo","ATA","24"
"Didi","Botafogo","MEI","28"
"Dino Sani","São Paulo","MEI","26"
"Djalma","Portuguesa","DEF","29"
"Garrincha","Botafogo","ATA","24"
"Gilmar","Corinthians","GOL","27"
"Joel","Flamengo","ATA","26"
"Mauro","São Paulo","DEF","25"
"Mazzola","Palmeiras","ATA","19"
"Moacir","Flamengo","MEI","22"
"Nilton Santos","Botafogo","DEF","33"
"Oreco","Corinthians","DEF","22"
"Orlando","Vasco","DEF","22"
"Pelé","Santos","ATA","17"
"Pepe","Santos","ATA","23"
"Vavá","Vasco","ATA","23"
"Vicente Feola","Brasil","TEC","49"
"Zagallo","Flamengo","ATA","26"
"Zito","Santos","MEI","25"
"Zózimo","Bangu","DEF","25"
