"Nome","Time","Posicao","Idade"
"Altair","Fluminense","DEF","22"
"Amarildo","Botafogo","ATA","23"
"Aymoré","Brasil","TEC","50"
"Bellini","São Paulo","DEF","32"
"Castilho","Fluminense","GOL","35"
"Coutinho","Santos","ATA","19"
"Didi","Botafogo","MEI","34"
"Djalma","Palmeiras","DEF","33"
"Garrincha","Botafogo","ATA","29"
"Gilmar","Santos","GOL","32"
"Jair Costa","Portuguesa","ATA","22"
"Jair Marinho","Fluminense","DEF","24"
"Jurandir","São Paulo","DEF","22"
"Mauro","Santos","DEF","32"
"Mengálvio","Santos","MEI","23"
"Nilton Santos","Botafogo","DEF","37"
"Pelé","Santos","ATA","22"
"Pepe","Santos","ATA","27"
"Vavá","Palmeiras","ATA","28"
"Zagallo","Botafogo","ATA","31"
"Zequinha","Palmeiras","MEI","28"
"Zito","Santos","MEI","30"
"Zózimo","Bangu","DEF","30"
