"Nome","Time","Posicao","Idade"
"Ado","Corinthians","GOL","20"
"Baldocchi","Palmeiras","DEF","24"
"Brito","Flamengo","DEF","30"
"Carlos Alberto","Santos","DEF","25"
"Clodoaldo","Santos","MEI","20"
"Dario","Atlético Mineiro","ATA","24"
"Edu","Santos","ATA","20"
"Everaldo","Grêmio","DEF","25"
"Félix","Fluminense","GOL","32"
"Fontana","Cruzeiro","DEF","29"
"Gérson","São Paulo","MEI","29"
"Jairzinho","Botafogo","ATA","25"
"Joel","Santos","DEF","23"
"Leão","Palmeiras","GOL","23"
"Marco Antônio","Fluminense","DEF","19"
"Paulo Cézar","Botafogo","MEI","20"
"Pelé","Santos","ATA","29"
"Piazza","Cruzeiro","DEF","26"
"Rivellino","Corinthians","MEI","24"
"Roberto","Botafogo","ATA","25"
"Tostão","Cruzeiro","ATA","23"
"Zagallo","Brasil","TEC","40"
"Zé Maria","Portuguesa","DEF","21"
