"Nome","Time","Posicao","Idade"
"Aldair","Roma","DEF","29"
"Bebeto","La Coruña","ATA","30"
"Branco","Fluminense","DEF","30"
"Cafu","São Paulo","DEF","24"
"Carlos Alberto Parreira","Brasil","TEC","51"
"Dunga","Stuttgart","MEI","31"
"Gilmar","Flamengo","GOL","35"
"Jorginho","Bayern München","DEF","30"
"Leonardo","São Paulo","DEF","25"
"Márcio Santos","Bordeaux","DEF","25"
"Mauro Silva","La Coruña","MEI","26"
"Mazinho","Palmeiras","MEI","28"
"Muller","São Paulo","ATA","28"
"Paulo Sérgio","Bayer Leverkusen","MEI","25"
"Raí","PSG","MEI","29"
"Ricardo Rocha","Vasco","DEF","32"
"Romário","Barcelona","ATA","28"
"Ronaldão","Shimizu","DEF","29"
"Ronaldo","Cruzeiro","ATA","18"
"Taffarel","Reggiana","GOL","28"
"Viola","Corinthians","ATA","25"
"Zetti","São Paulo","GOL","29"
"Zinho","Palmeiras","MEI","27"
